id;name;description;mode;celltype;component;doi;organism
1;221;Red blood cells (erythrocytes). This image of human red blood cells obtained by scanning electron microscopy, revealing their characteristic biconcave shape.;scanning electron microscopy (SEM);erythrocyte;None;doi:10.7295/W9CIL221;Homo sapiens
2;12621;Chick Chorioallantoic Membrane (CAM).  This scanning electron micrograph shows a section through part of a chick chorioallantoic membrane. A blood vessel has been fractured in the middle of CAM revealing red blood cells packed within the vessel. The sample was fixed using glutaraldehyde and osmium tetroxide, dehydrated in ethanol, critically point dried, coated with gold, and examined in a Phillips XL-30 FEG scanning electron microscope.;scanning electron microscopy (SEM);blood cell;None;doi:10.7295/W9CIL12621;Gallus gallus domesticu
3;40627;Single frog sacculus hair bundle imaged with field-emission scanning electron microscope.;scanning electron microscopy (SEM);auditory hair cell;cell surface;doi:10.7295/W9CIL40627;Rana catesbeiana
4;41311;Scanning electron microscope image of Penta lanceolata stigma (receptive surface for pollen).;scanning electron microscopy (SEM);None;cell surface;doi:10.7295/W9CIL41311;Penta lanceolata
5;810;During hippocampal neuron development in vitro, N-cadherin becomes selectively localized to excitatory synapses. This image shows immunolocalization of N-cadherin (red), colocalized at synapses that are also immunopositive for the presynaptic glutamate transporters V-glut 1 and 2 (green) and for the postsynaptic NMDA receptor (blue). This image accompanies 3 B&W raw images in this image group.  Individual fluorescent images were acquired using a Nikon Diaphot 300 with a 60X objective. Preparation was fixed in 4% paraformaldehyde and permeabilized with .01% TritonX-100.;fluorescence microscopy;multipolar neuron;excitatory synapse;doi:10.7295/W9CIL810;Rattus
6;214;A colorized scanning electron microscope picture of a nerve ending that has been broken open to reveal the synaptic vesicles (orange and blue) beneath the cell membrane.;scanning electron microscopy (SEM);neuron;synaptic vesicle;doi:10.7295/W9CIL214;None
7;11105;"Scanning electron micrograph of the surface of a peritoneal mast cell from mouse shows undulating folds, and few microvilli.  The membrane folds could be misinterpreted for microvilli if analyzed in thin sections using a transmission electron microscope.  Image by Emma Shelton, Figure 37 from Chapter 2 (Specializations Of The Free Surface) of ""The Cell, 2nd Ed."" by Don W. Fawcett M.D. A PDF copy of the accompanying chapter is available on the ASCB""s BioEDUCATE website.";scanning electron microscopy (SEM);mast cell;cell surface;doi:10.7295/W9CIL11105;Mus musculus
8;11108;"Scanning electron micrograph of the lumenal surface of the toad bladder shows the boundaries of four polygonal squamous epithelial cells surrounding a mitochondrial-rich cell bearing short globular microvilli. Boundaries between cells are demarcated by what appears to be a continuous ridge.  Image from Davis, Goodman, & Schuster (1974) J. Cell Biol. 61:544-547 and reprinted with permission as Figure 39 from Chapter 2 (Specializations of the Free Surface) of ""The Cell, 2nd Ed."" by Don W. Fawcett M.D.  A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.";scanning electron microscopy (SEM);squamous epithelial cell;cell surface;doi:10.7295/W9CIL11108;Bufo
9;11115;"Scanning electron micrograph of the epidermal surface of lamprey larvae.  A row of microvilli outline the polygonal borders between cells, while short microvilli cover the external surface in a reticular network.  Image from Fahrenbach, W. (1975) J. Invest. Dermatol. 65:39-44, reprinted with permission as Figure 43 from Chapter 2 (Specializations of the Free Surface) of ""The Cell, 2nd Ed."" by Don W. Fawcett M.D.   A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.";scanning electron microscopy (SEM);epidermal cell;cell surface;doi:10.7295/W9CIL11115;Entosphenus tridentatus
10;35465;Fenestrae of a Brown Rat arranged in sieve plates. Original magnification is 20,000x, a good indication of liver sinudosial endothelial cells (LESCs).;scanning electron microscopy (SEM);None;None;doi:10.7295/W9CIL35465;Rattus norvegicus
11;39346;Scanning electron micrograph of passion flower pollen.  A related image is CIL:39344.;scanning electron microscopy (SEM);pollen;pollen wall;doi:10.7295/W9CIL39346;Passiflora edulis
12;40651;"Scanning electron micrograph of collagen fibrils, showing their characteristic ""D banding"" morphology. These collagen fibrils are present in the joint capsule tissue that surrounds the knee.";scanning electron microscopy (SEM);None;fibrillar collagen;doi:10.7295/W9CIL40651;None
13;39049;Colorized scanning electron micrograph of a lung cancer cell grown in culture.;scanning electron microscopy (SEM);lung cancer cell;cell surface;doi:10.7295/W9CIL39049;None
14;40589;This is a scanning electron micrograph of a Hibiscus pollen grain.;scanning electron microscopy (SEM);pollen;pollen coat;doi:10.7295/W9CIL40589;Malvaceae
15;40619;Scanning electron micrograph of a diatom frustule. The frustule is the hard and porous cell wall or external layer of diatoms.;scanning electron microscopy (SEM);None;frustule;doi:10.7295/W9CIL40619;Bacillariophyta
16;39358;Scanning electron microscope image of corn leaf surface.;scanning electron microscopy (SEM);None;None;doi:10.7295/W9CIL39358;Zea mays
17;40656;Scanning electron micrograph of a diatom showing the two silica based frustule (cell walls).  Image also illustrates the regular pattern on the frustule.;scanning electron microscopy (SEM);None;frustule;doi:10.7295/W9CIL40656;Bacillariophyta
18;40656;Scanning electron micrograph of a diatom showing the two silica based frustule (cell walls).  Image also illustrates the regular pattern on the frustule.;scanning electron microscopy (SEM);None;frustule;doi:10.7295/W9CIL40656;Bacillariophyta
19;36713;The postoral fibers are also heavily labeled by anti-b-tubulin. The cell was lightly fixed, placed in metylcellulose and frozen in liquid nitrogen. Sections were produced at -100°C before thawing and treated with the b-tubulin antibody followed by immunogold labeled antibody to IgG. TEM taken on 2/25/94 by R. Allen with Zeiss 10A operating at 80kV. Neg. 9,780X. Bar = 0.5µm.;transmission electron microscopy (TEM);cell by organism;oral apparatus;doi:10.7295/W9CIL36713;Paramecium multimicronucleatum
20;34754;A view of the left side of the buccal cavity. It is covered by the plasma membrane, alveoli and a single partial layer of microtubules. Specialized cytoplasm lines the posterior end of this border. Oral ribs contain microtubular ribbons and interdigitate with alveolar tubes. TEM taken on 8/21/67 by R. Allen with Philips 200 operating at 60kV. Neg. 12,400X. Bar = 0.5µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34745) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).;transmission electron microscopy (TEM);cell by organism;oral apparatus;doi:10.7295/W9CIL34754;Tetrahymena pyriformis
21;34732;Mucocysts have a herringbone pattern of subunits and are surrounded by a membrane that fuses with the plasma membrane. When the mucocyst content is extruded the content expands (see Hausmann, Protistologica 8:401-412, 1972 for details. TEM taken on 8/12/67 by R. Allen with Philips 200 operating at 60kV. Neg. 19,200X. Bar = 0.2µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34731) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).;transmission electron microscopy (TEM);cell by organism;cell cortex;doi:10.7295/W9CIL34732;Tetrahymena pyriformis
22;34613;An image of the nucleoli of the macronucleus. Nucleoli have a core of DNA that contains the genes that are transcribed into ribosomal RNA. Assembly of the ribosomal subunits from this processed RNA and from proteins transported into the nucleus through the pores occurs in the nucleoli. A concentric stack of rough ER encircles a mitochondrion. TEM taken on 8/16/67 by R. Allen with Philips 200 operating at 60kV. Neg. 7,200X. Bar = 1µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34537) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).;transmission electron microscopy (TEM);cell by organism;macronucleus;doi:10.7295/W9CIL34613;Tetrahymena pyriformis
23;39139;Receptor mediated endocytosis is a process in which extracellular molecules are taken into the cell via coated vesicles that pinch from the plasma membrane. In Paramecium the resulting vesicles fuse with flattened cisterna called early endosomes. Early endosomes accumulate just under the cortex of the cell. Sorting of proteins destined to be returned to the plasma membrane after separating from cargo occurs in the early endosomes and is facilitated by the formation of secondary coated pits and vesicles on the early endosomes that are smaller than the coated and uncoated preendosomal vesicles that arise from the plasma membrane. These small coated pits pinch off and subsequently lose their coats to form carrier vesicles that are roughly 100nm in diameter. These vesicles move deeper into the cell where they bind to microtubular ribbons. TEM taken on 11/4/68 by R. Allen with Philips 300 operating at 60kV. Neg. 20,500X.;transmission electron microscopy (TEM);cell by organism;coated pit;doi:10.7295/W9CIL39139;Paramecium caudatum
24;40555;Immunogold label specific for Q2 antigen on discoidal vesicles. The same mAb used in CIL:36721 heavily labels discoidal vesicles and less heavily the cytopharyngeal membrane. A few gold particles are also found on the acidosomes. The distribution of this label confirms that the discoidal vesicles fuse with the cytopharynx to form the phagosome. TEM taken on 10/24/92 by R. Allen with Zeiss 10A operating at 80kV. Neg. 12,000X.;transmission electron microscopy (TEM);cell by organism;early phagosome;doi:10.7295/W9CIL40555;Paramecium multimicronucleatum
25;12590;Immuno-gold labeling of corn stunt spiroplasma (CSS, Spiroplasma kunkelii, Class Mollicutes) in sieve elements and other phloem cells of infected maize root tissue. In this image, CSS appears to be crossing a sieve pore in the phloem sieve plate. CIL:19128, from the same image group, is a labeled version of this image.  CSS is a wall-less procaryote that causes corn stunt disease and is biologically transmitted by some leafhopper species, e.g. Dalbulus maidis and D. gelbus (Hemiptera, Cicadellidae). Spiroplasma cells are limited by a unit membrane with no cell wall. They can be quasi-spherical, pleiomorphic or maintain a filamentous/spiral form. CSS multiplies in both plant and insect hosts and is transmitted with salivary secretions during feeding of the vector on new host plants. Related images by the same contributors are available in the Library.;transmission electron microscopy (TEM);plant cell;pore complex;doi:10.7295/W9CIL12590;Spiroplasma kunkelii
26;34753;Longitudinal section through the buccal cavity of the oral region showing portions of 3 membranelles (1, 2 and 3): each membranelle consists of 3 rows of cilia. The oral ribs are seen on the right side of the buccal cavity and are underlain by a filamentous reticulum and by the endoplasmic reticulum. A specialized cytoplasm  covers the posterior left side of the buccal cavity and a single layer of microtubules covers the left side. TEM taken on 2/9/71 by R. Allen with Hitachi HU11A operating at 75kV. Neg. 6,000X. Bar = 1µm. The negative was printed to paper and the image was scanned to Photoshop. This digitized image is available for qualitative analysis. An unprocessed, high resolution version of this image (CIL:34744) is in the library and available for quantitative analysis. Additional information available at (http://www5.pbrc.hawaii.edu/allen/).;transmission electron microscopy (TEM);cell by organism;oral apparatus;doi:10.7295/W9CIL34753;Tetrahymena pyriformis
27;12083;A high resolution view of the radial arm of the Contractile Vacuole Complex or CVC each contain a collecting canal enclosed by a microtubular ribbon split lengthwise into several smaller ribbons, a meshwork of smooth spongiome and, peripheral to this, the bundles of tubules of the decorated spongiome. The microtubules along the collecting canal are immunogold-labeled with anti-b-tubulin as are some single microtubules in the area. TEM taken on 7/8/96 by R. Allen with Zeiss 10A operating at 80kV. Neg. 7,900X.;transmission electron microscopy (TEM);cell by organism;contractile vacuole;doi:10.7295/W9CIL12083;Paramecium tetraurelia
28;43501;Transmission electron micrograph of a thin section of a HeLa cell treated to reveal components of the endocytic pathway. Epidermal growth factor (EGFR) is labeled with 10 nm immuno-gold particles and the localization of transferrin (Tf) is seen as an electron dense product as a result of treatment with Tf conjugated to horse radish peroxidase followed by diamino benzidine. E, early endosome M, late endosome (multivesicular body) L, lysozome Arrowheads denote gold particles Scale bar 500 nm;transmission electron microscopy (TEM);cervical epithelium;early endosome;doi:10.7295/W9CIL43501;Homo sapiens
29;48102;Cryopreserved human mammary epithelial cells were revived and stained for cytokeratin 18 (in red) to reveal the keratin-containing intermediate filaments found in the intracytoplasmic cytoskeleton of epithelial tissue, E-cadherin (in green) to visualize the calcium-dependent cell-cell adhesion glycoprotein, and DAPI (in blue) to label nuclei.;fluorescence microscopy;mammary epithelial cell;cytoskeleton;doi:10.7295/W9CIL48102;Homo sapiens
30;219;This image of endothelial cells from cow lung shows two components of the cytoskeleton, microtubules (green) and actin filaments (red).;fluorescence microscopy;endothelial cell;actin cytoskeleton;doi:10.7295/W9CIL219;Bos primigenius
31;11996;A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.;fluorescence microscopy;immune cell;None;doi:10.7295/W9CIL11996;Danio rerio
32;12631;This cross section shows a human fetal testis. Numerous seminiferous tubules appear within a lobe of the testis. It has not been treated with an antibody but is autofluorescent and therefore appears bright green. The image was made from a commercially fixed and section slide that was stained with hematoxylin and eosin and imaged with a Nikon Eclipse inverted microscope;fluorescence microscopy;None;None;doi:10.7295/W9CIL12631;Homo sapiens
33;228;Image shows a metaphase spread revealing the 46 human chromosomes (blue). Telomeres have been labeled using PNA-FISH and appear as pale dots at the ends of each chromatid.;fluorescence microscopy;None;nuclear chromosome;doi:10.7295/W9CIL228;Homo sapiens
34;40968;Fluorescent micrograph of epithelial cells from the bladder wall.  The cells were isolated immediately after collection of a urine specimen and are not fixed.  The image was taken using a standard epi-fluorescent microscope.;fluorescence microscopy;epithelial cell;plasma membrane;doi:10.7295/W9CIL40968;Homo sapiens
35;41642;Fluorescent micrograph of a Tilia tree taken at 10X. Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.;fluorescence microscopy;None;None;doi:10.7295/W9CIL41642;Tilia
36;37133;Transmission electron micrograph of continuous endothelium from a rat diaphram capillary.  Image aIso shows a reticulocyte in the capillary lumen.  Image made available by James D. Jamieson and the Department of Cell Biology, Yale University School of Medicine.;transmission electron microscopy (TEM);capillary endothelial cell;None;doi:10.7295/W9CIL37133;Rattus
37;11995;A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.;fluorescence microscopy;immune cell;None;doi:10.7295/W9CIL11995;Danio rerio
38;215;Zebrafish embryo showing the alignment of cells involved in the formation of the neural tube, which will become the spinal cord and brain.;fluorescence microscopy;neural;None;doi:10.7295/W9CIL215;Danio rerio
39;41628;Fluorescent micrograph of a Xenopus melanophore, showing microtubules (green), microtubule plus ends (red) and nucleus (blue).  Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.;fluorescence microscopy;melanocyte;microtubule cytoskeleton;doi:10.7295/W9CIL41628;Xenopus
40;45501;Differentiated human induced pluripotent stem cells (iPSCs) following differentiation protocol. Cell nuclei were stained with DAPI (blue), nestin (red) and beta3-tubulin/Tuj1 (green). Note the fate decision of some stem cells towards neuronal differentiation (left side) whereas the second type of cells (right side) differentiated towards brain microvascular endothelial cells (right side).;fluorescence microscopy;pluripotent stem cell;None;doi:10.7295/W9CIL45501;Homo sapiens
41;50648;Human umbilical vein endothelial cells stained initially for nuclei with DAPI (blue) and for vascular endothelial cadherin (red).;fluorescence microscopy;Umbilical vein endothelial cell;Vascular endothelial cadherin;doi:10.7295/W9CIL50648;Homo sapiens
42;12008;A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.;fluorescence microscopy;immune cell;None;doi:10.7295/W9CIL12008;Danio rerio
43;41633;Fluorescence micrograph showing the cross-section of bulrush (Juncus sp.) leaf, autofluorescing red (chlorophyll on external side of leaf) and blue (vascular bundles). The diameter of the stalk is approximately 3mm.Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.;fluorescence microscopy;None;chlorophyll;doi:10.7295/W9CIL41633;Juncus
44;41643;Fluorescence micrograph of a Pine stem.  Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.;fluorescence microscopy;None;None;doi:10.7295/W9CIL41643;Pinus [NCBITaxon:139271]
45;42101;Patient-derived glioma stem cells treated with a PLK1 (serine/threonine-protein kinase) inhibitor and stained for nuclei (blue), alpha-tubulin (green), phospho-histone H3 (red).;fluorescence microscopy;glioma stem cell;nucleus;doi:10.7295/W9CIL42101;Homo sapiens
46;42511;Fluorescence micrograph of a neuron regenerating in culture. Honorable Mention, 2006 Olympus BioScapes Digital Imaging Competition.;fluorescence microscopy;neuron;growth cone;doi:10.7295/W9CIL42511;Aplysia
47;50661;Human umbilical vein endothelial cells stained initially for nuclei with DAPI (blue) and for vascular endothelial cadherin (red).;fluorescence microscopy;Umbilical vein endothelial cell;Vascular endothelial cadherin;doi:10.7295/W9CIL50661;Homo sapiens
48;12009;A polymorphic immune cell (red) glides over two spherical V12Ras-transformed mucus-secreting cells (green, possible tumor precursors) in a live three day old zebrafish embryo. This is one of four images in a series that illustrates the movement of the immune cell over the surface of the transformed mucus-secreting cells.;fluorescence microscopy;immune cell;None;doi:10.7295/W9CIL12009;Danio rerio
49;240;Two interphase cells with immunofluorescence labeling of actin filaments (purple), microtubules (yellow), and nuclei (green). This image won first place in the Nikon 2003 Small World photo competition.;fluorescence microscopy;None;actin cytoskeleton;doi:10.7295/W9CIL240;None
50;220;"Molecules designed to block the expanded CAG repeats characteristic of Huntington""s disease  fluoresce blue in these cultured cells and  prevent the expression of the mutant proteins that cause the disease.";fluorescence microscopy;neuron;None;doi:10.7295/W9CIL220;Mus musculus
51;41467;Fluorescent image of serum starved fibroblasts created from four images stitched together. Image shows the microtubules (green) and nucleus (red).  Ninth Prize, 2007 Olympus BioScapes Digital Imaging Competition.;fluorescence microscopy;fibroblast;nucleus;doi:10.7295/W9CIL41467;Mus musculus
52;41634;Fluorescence micrograph of young sporangia, an enclosure in which spores are formed, of slime mold Arcyria stipata.  Honorable Mention, 2011 Olympus BioScapes Digital Imaging Competition®.;fluorescence microscopy;spore;sporangium;doi:10.7295/W9CIL41634;Arcyria stipata
53;40973;Fluorescent micrograph of a Drosophila melanogaster reproductive system highlighting the muscular and neural structure fruitfly ovaries and uterus.  The background staining of the eggs in red is a specific function of the mutant fly strain that is pictured here. Seventh Prize, 2011 Olympus BioScapes Digital Imaging Competition®.;fluorescence microscopy;egg;None;doi:10.7295/W9CIL40973;Drosophila melanogaster
54;187;The image shows a developing Drosophila spermatid immunostained for caspase activity (green). TRITC-phalloidin is used to label actin (red).  Caspase is required in spermiogenesis for the elimination of unwanted organelles and cytoplasm via apoptosis.;fluorescence microscopy;spermatid;cytoplasm;doi:10.7295/W9CIL187;Drosophila melanogaster
55;39469;Fluorescent micrograph of stage V-VI Xenopus laevis oocytes surrounded by thousands of follicle cells, as visualized by Hoechst staining.;fluorescence microscopy;oocyte;nucleus;doi:10.7295/W9CIL39469;Xenopus laevis
56;48101;Cryopreserved human hair follicle dermal papilla cells were revived and stained for vimentin (in green) to reveal cytoskeleton, and DAPI (in blue) to label nuclei.;fluorescence microscopy;hair follicle dermal papilla cell;Intermediate filament,;doi:10.7295/W9CIL48101;Homo sapiens
57;10276;After over-night serum starvation, mouse fibroblast expressing Dyn2-GFP were stimulated with 10ng/ml PDGF. After 5min, the cells were fixed and stained with rhodamine-phalloidin. PDGF-induced dorsal membrane ruffle was indicated by F-actin staining, and the enrichment of dynamin to the membrane ruffle was shown by their co-localization. Biological Source Mus musculus ES cell derived fibroblast PDGF-induced macropinocytosis PFA fixation Biological Context and Probe PDGF-induced dorsal membrane ruffle, Dyn2-GFP and rhodamine-phalloidin Equipment used Inverted Olympus IX-70 microscope with a 100×, 1.35 NA oil-immersion objective Magnification of image 1000x, scale bar indicates 5 um;fluorescence microscopy;fibroblast;dynamin;doi:10.7295/W9CIL10276;Mus musculus
58;1153;The purpose of the dataset C. elegans muscle aging is to deduce the age of the nemathode based on images of muscles.  Images of C. elegans were taken at different chronological ages. This image is part of the day 4 data set. Note that the morphological and chronological ages are not fully correlated due to the variability among individuals even though the individuals are genetically identical. The source for the dataset is Laboratory of Genetics/NIA/NIH.;fluorescence microscopy;muscle cell;actin filament;doi:10.7295/W9CIL1153;Caenorhabditis elegans
59;1160;The purpose of the dataset C. elegans muscle aging is to deduce the age of the nemathode based on images of muscles.  Images of C. elegans were taken at different chronological ages. This image is part of the day 4 data set. Note that the morphological and chronological ages are not fully correlated due to the variability among individuals even though the individuals are genetically identical. The source for the dataset is Laboratory of Genetics/NIA/NIH.;fluorescence microscopy;muscle cell;actin filament;doi:10.7295/W9CIL1160;Caenorhabditis elegans
60;1161;The purpose of the dataset C. elegans muscle aging is to deduce the age of the nemathode based on images of muscles.  Images of C. elegans were taken at different chronological ages. This image is part of the day 4 data set. Note that the morphological and chronological ages are not fully correlated due to the variability among individuals even though the individuals are genetically identical. The source for the dataset is Laboratory of Genetics/NIA/NIH.;fluorescence microscopy;muscle cell;actin filament;doi:10.7295/W9CIL1161;Caenorhabditis elegans
61;248;The distribution of mitochondria (labeled with antibody to heat shock protein 70) in relation to intermediate filaments (labeled with vimentin antibody) 16 hours after release from serum starvation in methanol-fixed 3T3 fibroblasts.Microscope - Zeiss Axioplan IIllumination - Mercury arc lampObjective - 100X oil/1.3 NAIntermediate lens between obj and camera - 0.63XCamera - Axiocam MRM CCDFilters:  1.  Ex 485/20, Em 515-565 BP, dichroic 5102.  Ex 560/40, Em 630/60, dichroic 595;fluorescence microscopy;fibroblast;type III intermediate filament;doi:10.7295/W9CIL248;Mus musculus
62;38936;"Confocal micrograph showing Shigella bacteria (pink) invading the intestinal lining. The bacteria infects the cells by high-jacking the cell""s internal actin skeleton (green) to facilitate its entry into the cell and spread into adjoining cells, using polymerizing actin comet tails as several can be seen doing here.  Shigella intestinal infection causes diarrhea and rapid dehydration typical of bacterial dysentery. FITC-labelled phalloidin highlights the actin of the cytoskeleton in green and propidium iodide (a DNA stain) was used to visualise bacteria in pink.";fluorescence microscopy;intestinal epithelial cell;actin cytoskeleton;doi:10.7295/W9CIL38936;Shigella
63;41025;"Amyotrophic Lateral Sclerosis (ALS, also known as Lou Gehrig""s Disease) motor neurons created from induced Pluripotent Stem (iPS) cells made from the skin cells of an 83-year-old ALS patient. iPS cells gives scientists an opportunity to study ALS in affected human motor neurons and other patient-derived brain cells.  Tenth Prize, 2009 Olympus BioScapes Digital Imaging Competition®.";fluorescence microscopy;motor neuron;neuron projection;doi:10.7295/W9CIL41025;Homo sapiens
64;41734;"This image of the vascular system of a chicken embryo taken two days after fertilization is a composite of two different images taken with an upright fluorescent dissecting scope.  The egg""s shell was opened and fluorescent dextran was injected into the lower part of the vascular system.  The heart pumped the dye and revealed the entire vasculature used by the embryo to feed itself from the rich underlying yolk inside the egg. Wellcome Image Award 2012.";fluorescence microscopy;None;None;doi:10.7295/W9CIL41734;Gallus gallus
65;35463;Phase contrast microscopy of liver sinusoidal endothelial cells purified from a Brown Rat.;phase contrast microscopy;blood vessel endothelial cell;None;doi:10.7295/W9CIL35463;Rattus norvegicus
66;37241;This phase contrast image of a fibroblast was made available by James D. Jamieson and the Department of Cell Biology, Yale University School of Medicine.;phase contrast microscopy;fibroblast;nucleus;doi:10.7295/W9CIL37241;None
67;12626;Human embryonic stem cell colony. This phase contrast image shows a human embryonic stem cell colony growing on Matrigel, a substrate that supports attachment of hESC. The Matrigel forms a thin coating under the cells and is not directly visible in this image. This is a live cell preparation that was imaged using a Nikon inverted Eclipse microscope.Notes;phase contrast microscopy;stem cell;cell;doi:10.7295/W9CIL12626;Homo sapiens
68;27832;Time lapse series showing motility and morphology of cultured hTERT-RPE1 cells (telomerase immortalized human retinal pigment epithelium) arrested in G1  using 0.08 uM nocodazole (Uetake and Sluder 2010, Curr Biol 20:1666-1671). A movie prepared from this time series is grouped in the Cell Image library.;phase contrast microscopy;retinal pigment epithelium;None;doi:10.7295/W9CIL27832;Homo sapiens
69;39111;A human sixteen-cell embryo, also called a morula (latin for mulberry). The embryo has gone through four cycles of cell division to get to this stage and the cells have undergone compaction whereby they flatten onto each other.;phase contrast microscopy;embryonic cell;cell surface;doi:10.7295/W9CIL39111;Homo sapiens
70;12625;Human embryonic stem cell colonies. This phase contrast image shows two human embryonic stem cell colonies growing on a feeder layer of mouse embryonic fibroblasts. The stem cells actually grow in between the fibroblasts. The feeder layer helps provide nutrition for the stem cells as well as factors that keep them from differentiating. This is a live cell preparation that was imaged using a Nikon inverted Eclipse microscope.;phase contrast microscopy;stem cell;cell;doi:10.7295/W9CIL12625;Homo sapiens
71;35136;Phase contrast microscopy of living bone marrow derived macrophages.  These cells are highly motile and the snapshot catches lamella and ruffles where the cells are protruding and phase dense organelles inside the volumes of the cells.;phase contrast microscopy;macrophage;ruffle membrane;doi:10.7295/W9CIL35136;Mus musculus
72;24566;A frame from the grouped movie of a Balamuthia mandrillaris ameba within a culture of monkey kidney cells. Accompanying photographs are enlargements of the tips of pseudopodia to demonstrate their flexibility and movement, and a second set of photographs demonstrate the puncture of the plasma membrane of a monkey kidney cell. The first shows an indentation in the cell membrane, the withdrawal of the pseudopodia tip and the subsequent rupture of the membrane in the area indented by the amebic tip. The eventual break in the membrane may have resulted from the release of a proteolytic enzyme. Details of the preparation can be found in CIL:19325.;phase contrast microscopy;cell by organism;cell;doi:10.7295/W9CIL24566;Balamuthia mandrillaris
